Date : 2021-03-08 19:59:24
Directory : /Users/jules/Documents/node/kiln-client
Total : 108 files,  26442 codes, 554 comments, 713 blanks, all 27709 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseFirings.js                   | JavaScript |         15 |          0 |          5 |         20 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseKiln.js                      | JavaScript |         20 |          0 |          5 |         25 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseKilns.js                     | JavaScript |         15 |          0 |          4 |         19 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebasePreferences.js               | JavaScript |         14 |          0 |          5 |         19 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseProject.js                   | JavaScript |         20 |          0 |          5 |         25 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseProjects.js                  | JavaScript |         15 |          0 |          4 |         19 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseSegment.js                   | JavaScript |         15 |          0 |          5 |         20 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseSegments.js                  | JavaScript |         15 |          0 |          4 |         19 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateFiring.js            | JavaScript |         20 |          0 |          5 |         25 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateFirings.js           | JavaScript |         19 |          0 |          4 |         23 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateSegments.js          | JavaScript |         12 |          0 |          4 |         16 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseUserData.js                  | JavaScript |          8 |          0 |          5 |         13 |
| /Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseUsers.js                     | JavaScript |          8 |          0 |          5 |         13 |
| /Users/jules/Documents/node/kiln-client/src/hooks/usePending.js                           | JavaScript |          6 |          0 |          4 |         10 |
| /Users/jules/Documents/node/kiln-client/src/index.css                                     | CSS        |         12 |          0 |          2 |         14 |
| /Users/jules/Documents/node/kiln-client/src/index.js                                      | JavaScript |         12 |          3 |          3 |         18 |
| /Users/jules/Documents/node/kiln-client/src/logo.svg                                      | XML        |          7 |          0 |          1 |          8 |
| /Users/jules/Documents/node/kiln-client/src/parseTemplateData.py                          | Python     |         31 |          2 |          6 |         39 |
| /Users/jules/Documents/node/kiln-client/src/reducers/alertReducer.js                      | JavaScript |         19 |          0 |          2 |         21 |
| /Users/jules/Documents/node/kiln-client/src/reducers/authReducer.js                       | JavaScript |         49 |         23 |          5 |         77 |
| /Users/jules/Documents/node/kiln-client/src/reducers/fakeUIDReducer.js                    | JavaScript |         10 |          0 |          3 |         13 |
| /Users/jules/Documents/node/kiln-client/src/reducers/firingReducer.js                     | JavaScript |         38 |          6 |          4 |         48 |
| /Users/jules/Documents/node/kiln-client/src/reducers/index.js                             | JavaScript |         25 |          0 |          2 |         27 |
| /Users/jules/Documents/node/kiln-client/src/reducers/kilnReducer.js                       | JavaScript |         23 |          0 |          4 |         27 |
| /Users/jules/Documents/node/kiln-client/src/reducers/pendingReducer.js                    | JavaScript |         35 |          0 |          8 |         43 |
| /Users/jules/Documents/node/kiln-client/src/reducers/preferencesReducer.js                | JavaScript |         14 |          0 |          3 |         17 |
