"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\src\helpers\photoHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 18, 3, 64
"c:\Users\micro\git\kiln-web\src\helpers\shareHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 8, 57
"c:\Users\micro\git\kiln-web\src\helpers\timedController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 3, 34
"c:\Users\micro\git\kiln-web\src\helpers\unitHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 20, 14, 265
"c:\Users\micro\git\kiln-web\src\history.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\micro\git\kiln-web\src\hooks\useBartlett.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\micro\git\kiln-web\src\hooks\useFakeUID.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseFiring.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseFirings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseGlassData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseInventory.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseKiln.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseKilns.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
